trial,val_rmse,val_r2,train_rmse,train_r2,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,is_best_trial
5,103.63553710750114,0.9206166381952052,31.3826242155143,0.9938499527797224,62,squared_error,10,4,4,,True
0,115.32596029096325,0.9038427483071505,64.32101451999695,0.9741360162237902,87,squared_error,7,3,1,,False
1,106.19333359273972,0.9163095145513915,30.75143138193036,0.9940889953666593,110,squared_error,10,9,2,,False
2,134.60836166953578,0.8768278567920126,105.74860150884743,0.9299379513786385,80,squared_error,5,7,1,,False
3,142.4346991043272,0.8676821985113475,112.01450336491318,0.9214628997990302,96,squared_error,7,7,1,sqrt,False
4,129.54009454290448,0.8887571226322942,84.13633435568869,0.9554964996863848,56,absolute_error,9,4,1,sqrt,False
6,108.91536904623595,0.9146904061036167,47.24586736262233,0.9860164489826904,105,absolute_error,9,10,5,,False
7,186.8327788251089,0.7778371756455355,167.9839067433789,0.8239493548397883,58,squared_error,5,5,2,sqrt,False
8,128.2037485357718,0.8870058705938954,77.31500041703517,0.9625468735046503,78,squared_error,9,2,5,sqrt,False
9,136.068433846063,0.8750665731236694,92.86370305124997,0.9459040597788192,50,squared_error,8,8,1,sqrt,False
10,253.295936197232,0.5986434761526145,243.6867860509013,0.6296277546375241,137,squared_error,3,4,2,sqrt,False
11,135.75156324292251,0.8767342789496754,92.49983243862974,0.9463058807701584,139,squared_error,8,8,3,sqrt,False
12,191.4956615651228,0.7660435038436498,173.67523630965093,0.8115361229796079,102,squared_error,3,2,4,,False
13,125.29273109739404,0.8944170463286261,81.04837943095973,0.9585968761517663,141,absolute_error,9,4,1,sqrt,False
14,122.53555025114531,0.8970434583007428,74.29153618239829,0.965365433413338,143,squared_error,9,9,1,sqrt,False
15,106.32839336048865,0.9160892072990693,31.0176620499685,0.9939913974827709,54,squared_error,10,5,3,,False
