trial,val_rmse,val_r2,train_rmse,train_r2,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,is_best_trial
0,1.4026803918451525,0.90008586458624,1.2306838948680745,0.9233769958724818,87,squared_error,7,3,1,,True
1,1.2809548024288655,0.9164633712098491,0.9419467249389365,0.9551119664687262,110,squared_error,10,9,2,,False
2,1.5864989961692626,0.8722914071056624,1.4999398397296595,0.8862041987713292,80,squared_error,5,7,1,,False
3,1.5243013082491186,0.8821531091782102,1.406393824878391,0.8999252620173029,96,squared_error,7,7,1,sqrt,False
4,1.396711061668526,0.9008111392548261,1.1917237627270343,0.9281541049028001,56,absolute_error,9,4,1,sqrt,False
5,1.293994823827592,0.9147564950830057,0.9716363968087949,0.9522458234847939,62,squared_error,10,4,4,,False
6,1.3440110068054631,0.908007149048553,1.0828573308357476,0.9406790194161637,105,absolute_error,9,10,5,,False
7,1.8173647315223902,0.8325869983586248,1.76176040370772,0.8429041806781432,58,squared_error,5,5,2,sqrt,False
8,1.423197994451788,0.8971147128586084,1.251141318801154,0.9208148062004525,78,squared_error,9,2,5,sqrt,False
9,1.4459997332703005,0.893864461510187,1.284222123833105,0.9165554443610857,50,squared_error,8,8,1,sqrt,False
10,2.378348859355622,0.7130505058328039,2.3655980448934217,0.7168819682520596,137,squared_error,3,4,2,sqrt,False
