cell,n_samples,rmse,r2,is_worst_quartile_cell
b1c20,532,1.5962761894303927,0.8818956714486925,True
b1c0,1805,1.5944134038688362,0.8624030538456409,True
b2c1,147,1.5438960654660168,0.9101901584389619,True
b3c7,1835,1.412000887979752,0.8819353934947086,True
b2c42,465,1.4018407583224306,0.9078304670405899,True
b1c3,1432,1.2852566553418705,0.9310608096539302,True
b3c39,1155,1.249417928175183,0.838987648343275,True
b1c45,597,1.182985219752932,0.9426496837850891,False
b2c24,495,1.1170831035347921,0.9306677871924784,False
b2c43,461,1.0605046935109264,0.9443215361591527,False
b1c40,964,1.0151529556775012,0.9530461944014732,False
b2c44,456,0.9392526728979048,0.9524266479109676,False
b1c36,702,0.900695718326856,0.9614383298466589,False
b1c15,717,0.847191466887912,0.9578514050312583,False
b1c21,557,0.8375666489755897,0.9641424901850064,False
b1c37,646,0.784878279639007,0.9684608624828462,False
b3c26,1027,0.766190300997677,0.967249667373261,False
b2c11,477,0.7500866647386932,0.9736478445381211,False
b3c25,988,0.7056039686282822,0.9606147502279595,False
b3c14,857,0.6605233997979807,0.9734183926632127,False
b1c29,915,0.6290172591063723,0.9814305073306376,False
b2c21,489,0.5081773516667438,0.9875578218093196,False
b2c14,484,0.47363304699030295,0.9884401245455797,False
b3c19,1154,0.4629630717121491,0.9879425999458357,False
b3c8,827,0.30907092206644843,0.9927214099737204,False
