trial,val_rmse,val_r2,train_rmse,train_r2,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,is_best_trial
0,1.0655498439235287,0.9421028311144477,0.7776348111758759,0.969407038870299,87,squared_error,7,3,1,,True
1,0.8968449328425265,0.9587216264734895,0.4059298109103052,0.9916568054003057,110,squared_error,10,9,2,,False
2,1.3483022055389557,0.9076895046567097,1.1829973062695718,0.9292049626551865,80,squared_error,5,7,1,,False
3,1.4021903334444277,0.9002572619332441,1.175927915496983,0.9300536169008353,96,squared_error,7,7,1,sqrt,False
4,1.1748473316296764,0.9299531304860367,0.8387403078770449,0.9643573267275244,56,absolute_error,9,4,1,sqrt,False
5,0.9123364842502051,0.9573455123050474,0.4279293281150661,0.9907348668056688,62,squared_error,10,4,4,,False
6,0.9640628036803942,0.9524330111344833,0.5597129995883149,0.9841533869638059,105,absolute_error,9,10,5,,False
7,1.8876858871148827,0.8191321628089995,1.775193306189007,0.8405666696398726,58,squared_error,5,5,2,sqrt,False
8,1.1616353464073015,0.931411933079932,0.8431924098953978,0.9640338330208345,78,squared_error,9,2,5,sqrt,False
9,1.266757764641235,0.9185122912370091,0.9965074881349828,0.9497436011200324,50,squared_error,8,8,1,sqrt,False
10,2.6201011762873465,0.6517610005638675,2.571073252518327,0.6655575386507233,137,squared_error,3,4,2,sqrt,False
