trial,val_rmse,val_r2,train_rmse,train_r2,n_neighbors,weights,p,is_best_trial
3,1.5043197385698899,0.8847534749881201,1.1492775417685916,0.9331729981418124,35,uniform,1,True
0,1.5168362586765336,0.8828772403982491,1.0158204311963854,0.9477872257104364,21,uniform,2,False
1,1.4928122092871856,0.8867008952967286,0.9108142103192611,0.9580239216545154,14,uniform,2,False
2,1.5279521798889928,0.8810959877192197,1.0892038710022687,0.9399737671188968,28,uniform,2,False
4,1.4846107497534082,0.887840597009388,0.9915854852034476,0.9502496297265022,19,uniform,1,False
5,1.4578804010121833,0.8919020917645728,0.001155158207929274,0.9999999303386555,28,distance,1,False
6,1.525223612314523,0.8815449596412014,1.0504092159978806,0.9441699955372073,24,uniform,2,False
7,1.4578804010121833,0.8919020917645728,0.001155158207929274,0.9999999303386555,28,distance,1,False
8,1.4843305878076642,0.8880905839077702,0.001155158207929274,0.9999999303386555,12,distance,2,False
9,1.4571465162335648,0.8920674352853224,0.001155158207929274,0.9999999303386555,19,distance,1,False
10,1.4929880641843611,0.8866898657878286,0.8913464738567658,0.9597973895407031,13,uniform,2,False
11,1.506640397832366,0.8844754243753445,0.9769393638297726,0.9517074062123256,18,uniform,2,False
12,1.4869808779716869,0.8875049625074943,0.001155158207929274,0.9999999303386555,26,distance,2,False
13,1.5237061487704957,0.881847307969367,1.1676139337070368,0.9310230392408941,39,uniform,2,False
