trial,val_rmse,val_r2,train_rmse,train_r2,n_neighbors,weights,p,is_best_trial
3,143.09529290012088,0.849751557311994,56.2174460301767,0.9802215000646077,35,uniform,1,True
0,180.15505372998967,0.7495060482869398,45.50283088319895,0.9870791805087361,21,uniform,2,False
1,180.5850432264089,0.7503926337079376,34.765337602505625,0.9924616854545197,14,uniform,2,False
2,179.0775112425029,0.7525307257200982,55.79035078852636,0.9805534567743607,28,uniform,2,False
4,145.47668887234514,0.8462964560679094,36.349886578429526,0.9917572523181116,19,uniform,1,False
5,143.20591270994922,0.8497869635773279,0.007028107781165263,0.999999999613021,28,distance,1,False
6,179.78495250981769,0.750483277220807,49.95492071669352,0.984419184559657,24,uniform,2,False
7,143.20591270994922,0.8497869635773279,0.007028107781165263,0.999999999613021,28,distance,1,False
8,179.6916868240663,0.7543560701535871,0.034724176280413535,0.9999999920100772,12,distance,2,False
9,145.3593954237327,0.8466907939416817,0.007028107781165263,0.999999999613021,19,distance,1,False
10,180.66206819521307,0.7507196670779294,33.20018493810848,0.9931250603506013,13,uniform,2,False
11,180.47475149240864,0.7491253973252362,41.06984361710069,0.9894795462320521,18,uniform,2,False
12,178.55296103973598,0.7540037495207301,0.034724273637475406,0.9999999920100413,26,distance,2,False
13,177.91199768409916,0.7564187724923745,69.32093743392811,0.9699372697098874,39,uniform,2,False
