trial,val_rmse,val_r2,train_rmse,train_r2,n_neighbors,weights,p,is_best_trial
3,1.2760180733868993,0.915596797599663,0.7953526314309902,0.9679813880655572,35,uniform,1,True
0,1.395009525553707,0.9004664226421323,0.7129063783325691,0.9742743197145334,21,uniform,2,False
1,1.3953224218994176,0.9004739977725711,0.5843627799051946,0.9827172062085132,14,uniform,2,False
2,1.3900747463027556,0.9012350265477371,0.8180131241268442,0.9661247337949428,28,uniform,2,False
4,1.259404958196099,0.9179525710645347,0.5892626766339241,0.9824314044491113,19,uniform,1,False
5,1.2495124584098931,0.9190989099644398,0.0008280388803990934,0.9999999568206054,28,distance,1,False
6,1.3929539442285424,0.9007625307748321,0.7622061722311362,0.9705935180080745,24,uniform,2,False
7,1.2495124584098931,0.9190989099644398,0.0008280388803990934,0.9999999568206054,28,distance,1,False
8,1.3848850338128216,0.9020878423116663,0.0035011114182564437,0.9999993605246347,12,distance,2,False
9,1.2459532533414495,0.919757995795722,0.0008280388803990934,0.9999999568206054,19,distance,1,False
10,1.3943566622288628,0.9006668455310477,0.5615716127205638,0.9840408074444162,13,uniform,2,False
11,1.3983716520598108,0.8999322360382521,0.665432411438297,0.9775866505585968,18,uniform,2,False
12,1.3784885640095064,0.9028560393425609,0.0035011095301747354,0.9999993605252084,26,distance,2,False
13,1.4058501208714058,0.8989336643328925,0.9430198662172768,0.9549581427114211,39,uniform,2,False
